Type d'activité,Date,Favori,Titre,Distance,Calories,Durée,Fréquence cardiaque moyenne,Fréquence cardiaque maximale,TE aérobie,Cadence de course moyenne,Cadence de course maximale,Allure moyenne,Meilleure allure,Gain alt,Perte d'altitude,Longueur moyenne des foulées,Rapport vertical moyen,Oscillation verticale moyenne,Training Stress Score® (TSS®),Difficulté,Constance,Temps passé au fond,Température minimale,Intervalle à la surface,Décompression,Temps du meilleur circuit,Nombre de circuits,Température maximale
Course,2020-03-19 14:50:11,false,"Val-Sonnette Course","15.05","921","01:16:04","162","196","4.3","168","186","5:03","3:49","366","366","1.18","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Non","00:18.73","16","0.0"
Course,2020-03-18 14:36:52,false,"Val-Sonnette Course","19.65","1,410","01:42:10","174","192","5.0","166","187","5:12","3:41","484","486","1.15","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Non","02:38.89","20","0.0"
Course,2020-03-16 18:11:59,false,"Lyon Course","10.30","541","00:44:01","159","178","3.8","168","180","4:16","3:38","50","50","1.39","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Non","01:27.58","11","0.0"
Course,2020-03-14 07:59:41,false,"Val-Sonnette Course","18.92","1,279","01:39:35","168","188","4.7","166","224","5:16","4:05","468","469","1.14","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Non","00:50.90","21","0.0"
Course,2020-03-12 18:27:06,false,"Lyon Course","6.34","615","00:39:10","182","196","5.0","164","244","6:11","4:08","337","333","0.98","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Non","02:35.49","7","0.0"
Course,2020-03-11 17:21:18,false,"Lyon Course","11.15","722","00:55:44","157","178","3.9","168","218","5:00","3:49","200","200","1.19","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Non","00:44.94","12","0.0"
Course,2020-03-10 18:14:37,false,"Lyon Course","10.12","628","00:45:03","168","184","4.2","170","180","4:27","3:36","23","21","1.32","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Non","00:41.50","11","0.0"
Course,2020-03-09 10:19:03,false,"Lyon Course","15.39","815","01:07:50","154","189","4.0","168","244","4:25","3:50","35","35","1.35","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Non","01:56.29","16","0.0"
Course,2020-03-08 09:47:56,false,"Lons-le-Saunier Course","15.17","1,232","01:31:18","165","189","5.0","164","244","6:01","1:28","470","472","1.01","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Non","01:16.65","16","0.0"
Course,2020-03-07 08:48:03,false,"Val-Sonnette Course","14.92","869","01:16:31","158","193","4.5","165","176","5:08","3:57","299","298","1.18","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Non","01:12.78","16","0.0"
Course,2020-03-03 18:34:07,false,"Lyon Course","14.32","960","01:04:17","177","186","5.0","169","191","4:29","3:34","87","84","1.32","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Non","01:23.65","15","0.0"
Course,2020-03-02 18:04:36,false,"Lyon Course","10.23","569","00:49:40","146","172","3.1","167","179","4:51","3:56","33","29","1.23","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Non","01:04.51","11","0.0"
Course,2020-03-01 17:56:55,false,"Lyon Course","5.22","272","00:23:55","148","167","2.8","166","177","4:35","3:48","86","82","1.31","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Non","00:50.63","6","0.0"
Course,2020-02-27 17:50:25,false,"Lyon Course","20.51","1,240","01:30:23","177","200","5.0","169","234","4:24","3:25","87","81","1.34","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Non","03:10.80","21","0.0"
Course,2020-02-25 18:20:39,false,"Lyon Course à pied","14.18","1,114","01:18:24","175","193","5.0","165","245","5:32","3:55","186","182","1.09","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Non","00:57.05","15","0.0"
Course,2020-02-24 17:54:59,false,"Lyon Course à pied","14.97","890","01:18:14","148","191","3.4","164","177","5:13","4:01","65","61","1.16","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Non","04:41.17","15","0.0"
Course,2020-02-23 18:58:06,false,"Lyon Course à pied","9.86","635","00:53:51","152","179","3.2","162","171","5:28","4:04","62","57","1.13","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","Non","04:34.04","10","0.0"
